# environment: cpu=32 ram=64206MB disk=679901MB gpu=2xRTX_A5000 python=3.12.3 network=disabled_by_policy
# metric_direction: higher
# mode: loop
# run_tag: aaforecast-brentoil-case1-uptrend
# parallel: serial
# web_search: disabled
# goal: Make brentoil-case1 parity AAForecast satisfy the final-fold uptrend acceptance criteria under parity-GRU-comparable conditions.
# scope: yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml,yaml/plugins/aa_forecast_brentoil_case1_parity.yaml,plugins/aa_forecast/,neuralforecast/models/aaforecast/,tests/test_validate_only_aa_forecast.py,tests/test_gru_aaforecast_parity.py
# repos_json: [{"path":"/home/sonet/.openclaw/workspace/research/neuralforecast","role":"primary","scope":"yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml,yaml/plugins/aa_forecast_brentoil_case1_parity.yaml,plugins/aa_forecast/,neuralforecast/models/aaforecast/,tests/test_validate_only_aa_forecast.py,tests/test_gru_aaforecast_parity.py"}]
# metric: last_fold_final_gap_vs_parity_gru
# verify: UV_CACHE_DIR=/tmp/uv-cache uv run python main.py --config yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml
# guard: Preserve no leakage, one-shot h=4 horizon contract, MAPE<=0.06, and single-model fit under 600s.
# stop_condition: final_gap_vs_gru>0 with labels last_fold_uptrend,mape_le_6pct,fit_lt_600s,no_leak,one_shot_h4
# rollback_policy: dedicated experiment branch; failed iterations may use git reset --hard HEAD~1
# required_stop_labels: last_fold_uptrend, mape_le_6pct, fit_lt_600s, no_leak, one_shot_h4
iteration	commit	metric	delta	guard	status	description
0	7678c11d6338b19741d39934c1270d3630857851	-6.760761413574215	0	-	baseline	Existing run artifacts show last-fold AAForecast final forecast is 6.76 below parity GRU, the 4-step path is not nondecreasing, and last-fold MAPE is 0.2196.
1	a847ffc6ba8c82bf1a6eaa9f17348eca92d2578b	-6.308316650390623	+0.452444763183592	fail:last_fold_not_uptrend,mape=0.2137>0.06; pass:one_shot_h4,no_leak_assumed,fit_lt_600s; note:targeted parity fixture test currently fails from pre-existing hist_exog order mismatch	discard	[labels: yaml_only, depth_parity, metric_improved, last_fold_not_uptrend, mape_gt_6pct, fit_lt_600s, one_shot_h4] YAML-only depth-parity probe (AA encoder/decoder layers -> 3/2 to match GRU parity config) improved final-gap-vs-GRU from -6.7608 to -6.3083, but the last fold still is not upward-trending and MAPE remains far above 6%.
2	07fecd43cc9e03a6fea1572510916fd3ffc60103	-6.760761413574215	0	config-crash: AAForecast hist exog groups must cover hist_exog_list exactly	crash	[labels: yaml_only, star_tail_probe, config_crash] YAML-only STAR-tail probe crashed before fold 1 prediction because moving GPRD/GPRD_ACT into upward tails created an invalid AA grouping configuration (hist exog groups no longer formed an exact partition).
3	b1f782f1e79d3d6c23b0a2289ae2cc3ae7cee066	-6.760761413574215	0	fail:last_fold_not_uptrend,mape=0.2196>0.06,final_gap<=0; pass:one_shot_h4,no_leak_assumed,fit_lt_600s	discard	[labels: yaml_only, top_k_probe, no_effect, last_fold_not_uptrend, mape_gt_6pct, fit_lt_600s, one_shot_h4] YAML-only top_k probe (0.1 -> 0.2) produced no measurable change in the final problematic fold: predictions, final gap vs parity GRU, and MAPE matched the baseline run.
4	7678c11d6338b19741d39934c1270d3630857851	-6.760761413574215	0	strategy-shift after three consecutive non-keeps	refine	[labels: refine, yaml_only, strategy_shift] [REFINE] YAML-only parity tuning has split into three outcomes: depth parity gave only a small gap improvement, STAR-tail edits crash grouping validation, and higher top_k has no effect. Next hypothesis family will keep YAML-only scope but shift to detrending-strength knobs (lowess_frac/lowess_delta) instead of context grouping.
5	de0c85a61f24faf7e2b5fd003ce2a1e819c79cab	-6.77261260986328	-0.011851196289065	fail:last_fold_not_uptrend,mape=0.2198>0.06,final_gap_worse; pass:one_shot_h4,no_leak_assumed,fit_lt_600s	discard	[labels: yaml_only, lowess_frac_probe, last_fold_not_uptrend, mape_gt_6pct, fit_lt_600s, one_shot_h4] YAML-only LOWESS smoothing probe (lowess_frac 0.35 -> 0.2) slightly worsened the final gap and still left the last fold non-upward with MAPE far above 6%.
6	7678c11d6338b19741d39934c1270d3630857851	-6.760761413574215	0	pivot after five consecutive non-keeps	pivot	[labels: pivot, code_level, horizon_guidance] [PIVOT] Abandoning YAML-only tuning as the primary strategy. Depth parity gave only a small gain, context-density and smoothing knobs did not reach the objective, and STAR-tail edits exposed grouping constraints. Next approach will be a narrow code-level change inside AAForecast to restore horizon-specific decoder guidance under the same no-leak one-shot contract.
7	444e53aae68b8573eda1992ac3a2603ed1d0dabb	-5.7278736114501925	+1.0328878021240225	pass:metric_improved,one_shot_h4,no_leak_assumed,fit_lt_600s; unmet:last_fold_not_uptrend,mape=0.2093>0.06,final_gap<=0	keep	[labels: code_level, horizon_guidance, metric_improved, fit_lt_600s, one_shot_h4, last_fold_not_uptrend, mape_gt_6pct] Code-level pivot: adding GRU-style horizon context to the AAForecast decoder materially improved the final gap vs parity GRU (-6.7608 -> -5.7279) and slightly improved MAPE (0.2196 -> 0.2093), while preserving the one-shot h=4 contract and sub-600s runtime. It still does not achieve an upward last fold or the 6% MAPE target.
8	c2a1b42e3fff9f38550119c480924e29152755bf	-6.0996856689453125	-0.37181205749512	fail:last_fold_not_uptrend,mape=0.2106>0.06,final_gap_worse_than_retained; pass:one_shot_h4,no_leak_assumed,fit_lt_600s	discard	[labels: code_level, composite_stack, discard_after_keep, last_fold_not_uptrend, mape_gt_6pct, fit_lt_600s, one_shot_h4] Composite attention-relaxation plus hidden-branch guidance stack regressed versus the retained horizon-guidance keep: final gap worsened from -5.7279 to -6.0997 and the last fold remained non-upward. This line will be discarded and the branch reset to the retained keep before the next focused code hypothesis.
9	cb58dbc1b9d3604a1a54b6e2ae819876937ebd74	-5.488776626586912	+0.2390969848632805	pass:metric_improved,last_fold_uptrend,one_shot_h4,no_leak_assumed,fit_lt_600s; unmet:final_gap<=0,mape=0.2099>0.06	keep	[labels: code_level, context_scale_1p5, metric_improved, last_fold_uptrend, fit_lt_600s, one_shot_h4, mape_gt_6pct] Increasing the retained horizon-guidance amplitude to 1.5x produced the first upward-trending last fold and improved the final gap vs parity GRU from -5.7279 to -5.4888 while staying within the one-shot contract and runtime budget. The final value is still below parity GRU and MAPE remains far above 6%.
10	28a29a18e559c751f50c6d3c4c58815c1990f721	-5.466779785156248	+0.021996841430664	fail:last_fold_not_uptrend (h2<h1),mape=0.2110>0.06,final_gap<=0; pass:metric_improved,one_shot_h4,no_leak_assumed,fit_lt_600s	discard	[labels: code_level, context_scale_2p0, metric_improved, shape_regression, mape_gt_6pct, fit_lt_600s, one_shot_h4] A 2.0x context scale improved the final gap slightly relative to the retained 1.5x keep, but it lost the required upward final-fold shape because horizon 2 dipped below horizon 1. Since the structural target regressed, this amplitude increase is discarded despite the numeric gain.
11	18e4f7f8d5b4e19f1b21ed50a7c2ced857c0e4da	-5.492682876586912	-0.00390625	fail:metric_worse_than_retained,mape=0.2102>0.06,final_gap<=0; pass:last_fold_uptrend,one_shot_h4,no_leak_assumed,fit_lt_600s	discard	[labels: code_level, context_scale_1p75, last_fold_uptrend, mape_gt_6pct, fit_lt_600s, one_shot_h4] An intermediate 1.75x context scale preserved the upward last fold but was slightly worse than the retained 1.5x keep on both final gap and MAPE, so the scalar-only tuning line is discarded at this setting.
12	cb58dbc1b9d3604a1a54b6e2ae819876937ebd74	-5.488776626586912	0	user-updated acceptance: prioritize spike capture; relax last-fold MAPE threshold to <=0.10	refine	[labels: refine, target_update, spike_capture_priority, mape_le_10pct] [REFINE] User updated the acceptance criteria during resume: the primary goal is to catch the sharply rising spike region, and last-fold MAPE <=10% is now sufficient instead of <=6%. Future iterations will optimize for spike capture first while keeping the same one-shot, no-leak, and runtime constraints.
